Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-08-21 00:00:00-04:00,126.42180525996095,127.96256024478278,125.8054987156855,127.60470581054688,25248700,0.0,0.0
2023-08-22 00:00:00-04:00,127.74386144743474,129.50331355394454,127.5550069040494,128.3104705810547,22054900,0.0,0.0
2023-08-23 00:00:00-04:00,129.40392483702382,132.61468011751114,129.09577532842894,131.58087158203125,27819700,0.0,0.0
2023-08-24 00:00:00-04:00,133.1514401730058,133.44965472550993,128.79756231060549,129.0063018798828,28500700,0.0,0.0
2023-08-25 00:00:00-04:00,128.76772830539176,129.98045637287547,126.49138703186253,129.105712890625,26762900,0.0,0.0
2023-08-28 00:00:00-04:00,130.52718796070477,131.74985102143413,129.36416478081736,130.22897338867188,20543300,0.0,0.0
2023-08-29 00:00:00-04:00,131.45163483185382,135.7558226409392,131.45163483185382,133.7677459716797,43075600,0.0,0.0
2023-08-30 00:00:00-04:00,133.97649795243905,135.46755559265864,133.27073916338247,135.0699462890625,28315800,0.0,0.0
2023-08-31 00:00:00-04:00,135.19915029723072,137.17729207084193,134.98046064717033,135.3582000732422,30053800,0.0,0.0
2023-09-01 00:00:00-04:00,136.64052953536765,136.64052953536765,134.04608862115742,134.85125732421875,21543700,0.0,0.0
2023-09-05 00:00:00-04:00,134.63255208309874,135.60670538678164,133.77767852375467,134.96058654785156,19403100,0.0,0.0
2023-09-06 00:00:00-04:00,135.20909886838623,135.71605295992552,132.8731027089163,133.6584014892578,18684500,0.0,0.0
2023-09-07 00:00:00-04:00,132.79358623197456,134.7717281086327,132.1574022626096,134.45362854003906,18844300,0.0,0.0
2023-09-08 00:00:00-04:00,134.10574816130105,135.84531567232168,134.0461082734895,135.56698608398438,23558300,0.0,0.0
2023-09-11 00:00:00-04:00,135.72598982082727,136.66038829795693,134.9804610573074,136.10372924804688,20763400,0.0,0.0
2023-09-12 00:00:00-04:00,135.44765552071536,136.05401950038058,134.38404240952485,134.53314208984375,18405500,0.0,0.0
2023-09-13 00:00:00-04:00,134.28465165631675,136.08385883851705,133.35025307890763,135.89500427246094,20749500,0.0,0.0
